geoid,neighborhood_2021,totalPopulation,malePercent,age<18Percent,age>60Percent,white,black,asian,hispanic,foreignBorn,collegeAbove,poverty,unemployment,renterPercent,noCarPercent,medianIncome,noMove,housingCostPerc,comDriveAlone,comCarpool,comPublicTransit,comWFH,comTaxi,comMotorcycle,comBikeWalk,commute<10min,commute10-29min,commute30-59min,commute>60min
72,4,57069,44.44444444,20.34028982,23.93944173,3.81292821,86.64949447,0.92694808,5.908636913,50.30051341,24.84237688,14.41846416,38.66492259,69.14638166,53.42530251,62926.05882,95.04584887,33.98823529,23.57653342,3.699049713,61.37987905,4.822115762,0.973847483,0,5.038090002,2.071127981,13.68924829,43.19663339,41.04299035
73,4,25784,51.70648464,16.10300962,28.94430655,20.94709898,1.105336643,65.95950977,15.20710518,65.4591995,26.85631869,15.00875316,43.18986652,52.28186332,30.71648144,59576.83333,94.14143794,34.20416667,36.6922037,10.97791798,35.05182515,7.832356918,0.027039207,0.135196034,8.67057233,4.175630745,26.08057892,36.79835713,32.94543321
74,2,60971,46.36958554,22.90105132,18.73513638,18.42515294,41.78543898,4.174115563,46.88458447,21.22320447,28.89600452,32.69147555,46.7704965,92.48541424,83.51614158,35594.09091,91.01557963,22.97784091,8.399393546,2.053281352,68.80225254,10.62594759,0.71041802,0.07797271,8.620316223,2.922644436,20.9868166,61.19620008,14.89433889
75,2,59773,43.27873789,17.04448497,23.46377127,30.95544811,27.05402105,13.25012966,42.23478828,26.35805464,36.23866828,29.02623683,45.68909531,91.70994572,82.54519895,52729.2,87.15232682,21.96045455,5.705054801,0.907901194,64.98445935,10.12596107,1.153279895,0.376247342,15.83919516,7.826720058,26.17855843,52.83491081,13.1598107
76,2,110153,45.85258686,28.00650005,17.42485452,13.06455566,66.64003704,3.544161303,29.89387488,30.58745563,14.90127236,25.17215768,43.3396858,74.47233158,59.93000875,49163.64286,95.9143663,33.72076149,22.28116056,4.004243561,60.07845653,6.515839337,1.884930425,0.081417152,4.320043422,2.227441873,12.70486395,54.50106886,30.56662532
77,2,30156,42.07122961,23.49449529,21.93593315,7.245655923,74.92704603,1.429234647,25.37140204,35.52195251,14.97397112,29.82824746,45.07845934,73.79924447,64.63392697,43687.33333,90.50641413,34.57777778,21.64737311,0.605520926,68.46838825,4.532502226,0.694568121,0,3.855743544,3.143363492,12.65740136,49.35173958,34.84749557
78,2,45149,46.0497464,28.99953487,15.11661388,17.3049237,42.8758112,0.363241711,66.28496755,27.94303307,13.25108853,39.63500864,43.04967732,92.96616637,72.11269397,27836.90909,91.32395504,36.60208333,22.46597066,3.568124752,61.35853046,5.292718382,0.892031188,0.303951368,4.506409409,3.216353869,19.04695458,40.06139678,37.67529477
79,0,44291,51.29484545,5.588042717,17.2450385,70.8360615,5.809306631,13.40452914,12.88975187,19.52992707,74.67154189,19.28534967,32.19964874,83.49804643,83.81521489,104156,72.97706474,20.45,3.925767309,1.266012998,45.86197829,16.57087043,1.217175702,0,30.35801495,9.068804035,47.20371037,38.8148415,4.912644092
80,3,37479,48.16563942,14.7362523,14.91235092,55.31897863,11.84663412,11.97203767,29.5338723,24.66714694,51.10530405,20.09202044,26.89752737,84.15001537,67.00891485,90251.5,81.22564935,23.20833333,7.562289872,2.275134712,59.34693502,18.18726109,0.474370193,0,11.31580159,2.150416573,24.84800721,60.48750281,12.51407341
81,4,39184,43.36463863,22.65975909,20.970294,8.322274398,71.33523887,0.227133524,26.77878726,36.64505921,25.16592067,13.65994683,37.78150304,61.42789449,45.3798768,66620.875,93.02083604,30.90446429,39.18059107,6.095022894,42.39162752,3.573764643,1.766070048,0,5.006838318,2.805870745,24.19832264,36.34681796,36.64898865
82,4,88884,49.48134647,21.68219252,19.32068764,14.03627199,1.531209217,45.49975249,45.90814995,66.25376896,28.53159111,9.370238122,33.18999109,72.6642444,60.97063622,62658.68421,92.61938561,30.86315789,14.84251336,3.168085155,67.82363332,5.510311762,0.332637471,0.162877658,7.41896263,2.354997694,15.14967588,59.16142659,23.33389983
83,4,25457,51.4396826,19.5859685,19.38955886,21.44400361,1.390580194,56.41277448,30.43956476,65.16871587,32.915426,11.60247079,35.07198489,58.06718713,39.75632837,67436.875,91.28058921,30.44375,25.32920831,10.21735681,51.14231318,5.386323973,0.674282088,0.317309218,6.607964461,1.693636287,25.88245158,51.50498868,20.91892345
84,1,30386,46.92292503,21.42763115,24.42901336,90.63713552,1.286776805,5.216217995,8.303165932,16.72480748,40.81452176,7.159566406,38.86075437,19.91858098,7.192013182,116017.1667,95.42898965,26.55833333,64.00415656,6.983027364,18.14340145,8.569449255,0.131624524,0,1.614132317,3.5232611,29.41354751,31.69419609,35.3689953
85,2,28072,42.45155315,20.06982046,17.9431462,7.003419778,81.21615845,1.791821032,6.134226275,43.21744087,31.85728745,13.58572201,35.95354098,76.98769877,62.97629763,68358.22222,94.84192415,31.61111111,15.7504363,2.363292612,66.85573008,7.031704479,0.785340314,0,6.980802792,2.831443097,16.84004693,47.78255768,32.54595229
86,4,60666,47.02963769,30.85748195,20.1480236,35.87841625,42.46530182,4.742359806,23.78927241,33.18333168,29.0964234,16.92485785,39.95291859,72.34007292,40.34360844,65817.55556,91.86316229,29.66444444,42.91813706,5.61582364,33.64266109,6.813924106,2.635821026,0,7.349801769,8.167749778,25.19986909,29.90789658,36.72448455
87,0,16786,47.57536042,8.822828548,4.468009055,72.75110211,1.584653878,16.50184678,6.636482783,19.11116407,91.58537553,5.112625054,9.582790091,85.65032988,89.64420358,195634.5,65.33604644,21.3,1.705402958,0.271657108,51.48656807,14.08843948,1.833685481,0,30.33504377,10.96179183,50.39086517,35.03732982,3.610013175
88,0,1906,62.11962225,15.21511018,5.19412382,64.21825813,3.830010493,19.41238195,10.07345226,22.45540399,91.96310935,7.926509186,10.22797289,81.23543124,85.66433566,208438,77.02265372,22.8,2.668539326,2.879213483,44.17134831,23.24438202,1.123595506,0,25.91292135,8.600182983,33.48581885,53.52241537,4.3915828
89,2,107159,47.19248966,21.23853339,19.11272035,28.95790368,45.03588126,9.670676285,17.54122379,41.16686419,37.5353412,14.52932063,33.11220709,79.56158295,58.76202743,74310.21429,92.19017205,28.76220238,17.1475571,3.182196339,60.41635154,10.42769626,1.036151868,0.011344728,6.821963394,1.78582737,16.45663141,51.0607308,30.69681042
9,1,21372,48.73198578,19.58169568,26.38031069,36.95021523,1.249298147,51.41306382,15.45012165,47.25341568,34.62777041,10.52754873,39.00266636,31.73263216,12.46886244,76039.42857,95.23383413,30.22857143,49.3808208,9.466789479,30.11974209,7.542728482,0.419609047,0.061406202,2.538123017,2.468452513,25.88000886,40.48040735,31.17113128
90,0,20190,52.47152055,9.5047053,17.86527984,77.71669143,6.13174839,9.321446261,11.401684,23.90787519,82.86555787,9.872247353,20.88087875,65.76576577,80.98759136,155353,78.75766489,18.91666667,5.478967833,1.385648639,47.61399788,15.92788971,2.545068929,0,25.88900672,7.862428523,63.12647158,24.34409687,4.667003027
91,4,71676,47.11479435,22.65472404,25.00279033,16.79920755,67.68234835,5.234667113,8.732351136,43.19158435,31.47774505,10.06334158,39.22198864,40.23981218,32.79808821,84231.92593,95.47185244,30.45783476,34.11559225,5.389012385,49.47284852,6.294061607,0.800254049,0.028580502,3.216894252,2.67724007,18.54412363,36.70868917,42.06994713
92,4,69610,44.84700474,14.08849303,28.93118805,10.54589858,3.447780491,73.09581957,13.84571182,70.49418187,22.9476975,20.7895389,42.14488543,72.40534601,62.06275442,44813.86667,93.11237027,31.58,16.35447154,11.52845528,43.12195122,5.391869919,0.146341463,0.02601626,22.61788618,8.225629039,26.09652138,37.11673312,28.56111646
95,4,92512,47.9440505,18.78675199,26.87002767,55.13122622,3.733569699,27.73045659,15.17316672,44.99848668,61.9199933,7.066085615,34.9355171,50.54241243,45.63215252,104647.25,91.05510363,23.5625,23.01389842,4.02582361,50.67776253,15.07592656,0.416094715,0.021448181,6.07841455,2.174516984,16.17123374,53.06225534,28.59199394
97,3,35051,46.45231234,19.07791504,15.42324042,38.34698011,32.74656928,10.75860888,16.07657413,20.35890559,57.4207038,18.53403452,29.76750623,79.12554825,70.90186404,101447.5,83.44883345,23.775,9.249159918,1.592023357,52.36049138,21.26370297,1.189885969,0,14.07480857,2.658644092,28.20261667,55.64262226,13.49611698
98,1,18972,52.17689226,22.18532574,24.53615855,32.64284208,8.776091082,50.12650221,10.06219692,48.3923677,49.24253787,9.63099631,37.52160617,56.7941041,12.78980501,95545,91.84682238,23.43,42.07496181,11.97274116,25.5199154,15.32134884,0,0,3.430854189,4.523380047,25.82211739,35.57652283,34.07797974
1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
